,Filename,Label,Sentence
11,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The table of contents is composed as follows: “Section 1 Financial market stabilization part 1 Financial market stabilization fund Section 1 Establishment of the fund Section 2 Purpose of the fund Section 3 Position in legal transactions Part 2 Institutional framework Section 3a Federal Financial Market Stabilization Agency; sponsorship of the finance agency; organization and tasks; Authorization to issue ordinances Section 3b Confidentiality obligation; Cooperation with the Federal Financial Supervisory Authority and the Deutsche Bundesbank Section 3c Legal status of the members of the Management Committee Section 3d Coverage of costs Section 3e Cost reimbursements Section 3f Authorization to issue ordinances Part 3 Stabilization measures Section 4 Decision on stabilization measures; Administration Section 5 Separation of Assets - Federal Liability Section 5a Acquisition of Shares Section 6 Guarantee Authorization; Authorization to issue ordinances Section 6a Guarantees to special-purpose entities Section 6b Obligation to pay a compensation amount Section 6c Obligation to further offset losses Section 7 Recapitalization Section 8 Risk assumption; Authorization to issue ordinances Section 8a Federal resolution agencies Section 8b State resolution agencies Section 9 Credit authorization Section 10 Conditions for stabilization measures; Authorization to issue ordinances Section 10a Parliamentary control Section 11 Annual accounts and parliamentary information Section 12 Administrative costs Section 13 Time limit and state participation Part 4 Taxation Section 14 Taxes Section 14a Special tax regulations in connection with asset transfers according to Sections 6a and 8a Section 14b Special tax regulations for special purpose entities and liquidation agencies according to the Sections 6a and 8a Section 14c Tax treatment of payments to the special-purpose entity or the liquidation agency and payouts of the special-purpose entity or the liquidation agency Section 14d Special tax regulations in connection with state-law liquidation agencies Section 2 Economic stabilization Part 1 Economic stabilization fund Section 15 Establishment of the fund Section 16 Purpose of the fund Section 17 Position in legal transactions Section 18 Institutional framework; Authorization to issue ordinances Section 19 Cost recovery and reimbursement; Authorization to issue ordinances Part 2 Stabilization measures Section 20 Decision on stabilization measures; Authorization to issue ordinances Section 21 Authorization to issue warranties; Authorization to issue ordinances Section 22 Recapitalization; Authorization to issue ordinances Section 23 Refinancing of the special programs of the Reconstruction Loan Corporation Section 24 Credit authorization Section 25 Requirements and conditions for stabilization measures; Authorization to issue ordinances Section 26 Time limit; Authorization to issue ordinances Part 3 Taxation Section 27 Taxes Section 28 Application provision for Section 27 Section 3 General regulations Section 29 Immediate enforceability Section 30 Legal recourse Section 31 Promulgation of statutory ordinances""."
12,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,3rd
13,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The headline before § 1 is worded as follows: ""Section 1 Financial Market Stabilization Part 1 Financial Market Stabilization Fund""."
14,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,4th
15,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The heading to Section 6 is worded as follows: “Section 6 Guarantee authorization; Authorization to issue ordinances""."
16,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'5th
17,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The heading to Section 8 is worded as follows: “Section 8 Assumption of risk; Authorization to issue ordinances""."
18,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,6th
19,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The title of Article 10 is worded as follows: “Article 10 Conditions for Stabilization Measures; Authorization to issue ordinances""."
20,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,7th
21,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The following Section 2 is inserted after Section 14d: “Section 2 Economic Stabilization Part 1 Economic Stabilization Fund Section 15 Establishment ofFund A federal fund will be set up under the name ""Economic Stabilization Fund - WSF -""."
22,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,'§ 16 Purpose of the fund (1) The economic stabilization fund serves to stabilize companies in the real economy by overcoming liquidity bottlenecks and by creating the framework conditions for strengthening the capital base of companies whose existence at risk has a significant impact on the economy - technological sovereignty - security of supply - critical infrastructures or the job market.
23,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) Companies in the real economy according to paragraph 1 (companies) are commercial companies which are not companies in the financial sector according to § 2 paragraph 1 sentence 1 and are not credit institutions or bridge institutions according to § 2 paragraph 1 sentence 2 and which have already been closed in the last two on the balance sheet financial years before the 1st
24,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"have met at least two of the following three criteria by January 2020: 1. a balance sheet total of more than 43 million euros, 2. more than 50 million euros in sales and 3. more than 249 employees on average over the year."
25,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(3) The Economic Stabilization Fund is a special fund within the meaning of Article 110 Paragraph 1 of the Basic Law.
26,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'(4) The Federal Ministry for Economic Affairs and Energy is the responsible contact for companies in the real economy.
27,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,§ 17 Position in legal transactions The Economic Stabilization Fund has no legal capacity.
28,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,He can act under his name in legal transactions - sue and be sued.
29,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Arrest or other enforcement measures in the Economic Stabilization Fund will not take place.
30,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,§ 394 sentence 1 of the German Civil Code is to be applied accordingly.
31,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The general place of jurisdiction of the Economic Stabilization Fund is Frankfurt am Main.
32,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'Sentence 3 and sentence 4 shall apply mutatis mutandis to institutions established by other domestic regional authorities and comparable to the Economic Stabilization Fund.
33,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"§ 18 Institutional framework; Authority to issue ordinances (1) The administration of the economic stabilization fund, with the exception of decisions on stabilization measures pursuant to Section 20 subsection 1 and the performance of the tasks pursuant to Section 20 subsection 3, is the responsibility of the finance agency."
34,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The Finance Agency performs the tasks related to the administration of the Economic Stabilization Fund - also on behalf of the Economic Stabilization Fund - as its own.
35,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"With regard to the performance of the tasks according to sentences 1 and 2, the finance agency is subject to the legal and technical supervision of the Federal Ministry of Finance."
36,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The technical supervision with regard to the decisions on stabilization measures according to § 20 is exercised by the Federal Ministry of Finance in agreement with the Federal Ministry for Economic Affairs and Energy.
37,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The Federal Ministry for Economic Affairs and Energy is the point of contact for companies.
38,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"(2) The Federal Ministry of Finance may, in agreement with the Federal Ministry for Economic Affairs and Energy, temporarily perform the tasks and powers of the finance agency itself or transfer them to a suitable third party."
39,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Paragraph 1 sentence 2 and 3 applies accordingly.
40,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'(3) The Finance Agency may use suitable third parties to fulfill its tasks in accordance with this section in accordance with an ordinance issued pursuant to Article 20 Paragraph 6.
41,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(4) § 3a paragraph 6a and § 3b paragraph 1 to 3 apply accordingly.
42,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Insofar as institutions established by other domestic regional authorities - represented by a financial agency under the law of the domestic regional authority and whose tasks are performed by this financial agency - are represented by institutions comparable to the Economic Stabilization Fund - § 3a paragraph 6a sentences 1 and 2 apply to those established under the law of the domestic regional authority Finance agency accordingly.
43,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'§ 19 cost coverage and cost reimbursement; Authorization to issue ordinances (1) §§ 3d and 3e apply accordingly.
44,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) The Federal Ministry of Finance is authorized - in agreement with the Federal Ministry for Economic Affairs and Energy by ordinance - which does not require the approval of the Federal Council - to issue more detailed provisions 1. on cost reimbursement and cost reimbursement procedures and on those liable to pay according to Section 3e; 2. with other regulations - which are necessary to cover the costs in accordance with the provisions of §§ 3d and 3e - which arise in the fulfillment of the tasks within the framework of economic stabilization.
45,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"Part 2 Stabilization Measures Section 20 Decision on Stabilization Measures; Authorization to issue ordinances (1) The Federal Ministry of Finance, in agreement with the Federal Ministry for Economic Affairs and Energy, shall decide on the stabilization measures to be carried out by the Economic Stabilization Fund in accordance with Sections 21 and 22 of this Act at the request of the company at its due discretionConsideration of 1. the importance of the company for the German economy, 2. the urgency, 3. the effects on the labor market and competition and 4. the principle of the most economical and economical use of the resources of the Economic Stabilization Fund."
46,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,As far as fundamental questions are concerned - matters of particular importance as well as decisions on essential measures and requirements in accordance with an ordinance issued according to § 25 Paragraph 3 - an interministerial committee (Economic Stabilization Fund Committee) decides by consensus.
47,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The Economic Stabilization Fund Committee may appoint a panel of experts.
48,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,There is no legal entitlement to benefits from the Economic Stabilization Fund
49,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"(2) The benefits are to be made dependent on conditions and requirements according to § 25 paragraph 2; in doing so, decisions of the European Council and the Council of the European Union and specifications of the European Commission and compatibility with Articles 107 and 108 of the Treaty on the Functioning of the European Union must be taken into account."
50,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(3) The Federal Ministry of Finance is responsible for managing the holdings acquired as part of stabilization measures and for storing and administering the other instruments taken over as part of recapitalization measures pursuant to Section 22.
51,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(4) The Federal Ministry for Economic Affairs and Energy is the competent authority for negotiations on stabilization measures with companies in the real economy and is responsible for preparing the applications.
52,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Applications are to be submitted via the Federal Ministry for Economic Affairs and Energy.
53,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"For applications, the Federal Ministry for Economic Affairs and Energy creates the committee preparation including the vote."
54,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"In agreement with the Federal Ministry for Economic Affairs and Energy, the Federal Ministry of Finance can, by means of an ordinance - which does not require the consent of the Bundesrat - give the Kreditanstalt für Wiederaufbau in certain cases the decision on stabilization measures according to §§ 21 and 22 - the performance of the tasks in Within the meaning of paragraph 3- the receipt and processing of applications referred to in sentence 1 and the preparation of decisions by the interministerial committee referred to in paragraph 1; Paragraph 1 sentence 2 remains unaffected."
55,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The Kreditanstalt für Wiederaufbau may use suitable third parties to fulfill its tasks in accordance with this section in accordance with an ordinance issued in accordance with sentence 4.
56,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,If tasks of the finance agency or the credit institution for reconstruction are performed by other legal or natural persons according to this law - it must be contractually ensured that the Federal Court of Auditors also has the right to collect data from these persons.
57,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"In the case of stabilization measures pursuant to Section 22, the Federal Court of Auditors shall be entitled to collect data from the companies concerned."
58,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"(5) The Economic Stabilization Fund Committee is composed of one representative each from the Federal Chancellery, the Federal Ministry of Finance, the Federal Ministry for Economic Affairs and Energy, the Federal Ministry for Labor and Social Affairs, the Federal Ministry for Justice and Consumer Protection and the Federal Ministry for Transport and Digital Infrastructure ."
59,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Further members may belong to the Economic Stabilization Fund Committee in an advisory capacity.
60,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The Federal Ministry of Finance can, in agreement with the Federal Ministry for Economic Affairs and Energy, give the Economic Stabilization Fund Committee rules of procedure."
61,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(6) The guidelines for the administration of the Economic Stabilization Fund are determined by the Federal Ministry of Finance in agreement with the Federal Ministry for Economic Affairs and Energy by means of an ordinance which does not require the consent of the Bundesrat.
62,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The Budget Committee of the German Bundestag is to be informed immediately of the enactment and amendments to the ordinances pursuant to sentence 1 and paragraph 4.
63,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(7) Section 5 applies accordingly to the Economic Stabilization Fund.
64,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,§ 21 Warranty authorization; Authorization to issue ordinances (1) The Economic Stabilization Fund is authorized to issue guarantees of up to EUR 400 billion for the Economic Stabilization Fund from 28
65,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,March 2020 to 31st
66,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,Assume debt and established corporate debt issued in December 2021- to address liquidity constraints and support capital market refinancing; the term of the guarantees and the liabilities to be secured may not exceed 60 months.
67,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The Economic Stabilization Fund Committee can, at its own discretion, also decide on applications from companies that have the characteristics according to § 16 Paragraph 2- 2."
68,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Do not fulfill half sentence - if this company is active in one of the sectors mentioned in § 55 of the Foreign Trade and Payments Ordinanceg or are of comparable importance for security or the economy.
69,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,Adequate consideration must be charged for the assumption of guarantees.
70,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,"(2) The Federal Ministry of Finance, in agreement with the Federal Ministry for Economic Affairs and Energy, can issue more detailed provisions by statutory order - which does not require the approval of the Bundesrat - on 1. the type of guarantee and the risks - which can be covered by it - 2. the calculation and crediting of guarantee amounts- 3. the consideration and the other conditions of the guarantee- 4."
71,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,Upper limits for the assumption of guarantees for liabilities of individual companies and for certain types of guarantees and 5. other conditions necessary to ensure the purpose of Section 2 in the context of the assumption of guarantees under paragraph 1.
72,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'(3) The budget committee of the German Bundestag is to be informed immediately about the enactment and amendments to the ordinance pursuant to paragraph 2.
73,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'(4) § 6 paragraph 1a to 3 applies accordingly.
74,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,Section 6 paragraph 1a also applies accordingly to guarantees assumed by other domestic regional authorities that are comparable to the Economic Stabilization Fund.
75,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Section 22 Recapitalization; Authorization to issue ordinances (1) The Economic Stabilization Fund may participate in the recapitalization of companies.
76,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: GUARANTEES,The recapitalization measures include the purchase of subordinated debt - hybrid bonds - participation rights - silent participations - convertible bonds - the acquisition of shares in companies and the assumption of other components of the equity of these companies - if this is necessary for the stabilization of the company.
77,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Appropriate remuneration must be agreed for the recapitalization.
78,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) The Federal Ministry of Finance shall decide on the measures referred to in paragraph 1 in agreement with the Federal Ministry for Economic Affairs and Energy.
79,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Participation by the Economic Stabilization Fund should only take place - if the federal government has an important interest in stabilizing the company and the purpose intended by the federal government cannot be achieved better and more economically in any other way.
80,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The Economic Stabilization Fund Committee can, at its own discretion, also decide on applications from companies that have the characteristics according to § 16 Paragraph 2- 2."
81,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Do not fulfill half sentence - if these companies are active in one of the sectors mentioned in § 55 of the Foreign Trade and Payments Ordinance or are of comparable importance for security or the economy or have been operating since 1.
82,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,January 2017 were valued in at least one completed financing round by private investors with an enterprise value of at least EUR 50 million including the capital raised through this round.
83,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,§§ 65 to 69 of the Federal Budget Code do not apply.
84,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"(3) The Federal Ministry of Finance, in agreement with the Federal Ministry for Economic Affairs and Energy, can issue statutory ordinances - which do not require the consent of the Bundesrat - more detailed provisions on 1. the consideration and the other conditions of the recapitalization - 2."
85,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Upper limits for participation in equity components of individual companies and for certain types of equity components- 3. the conditions under which the Economic Stabilization Fund can resell its participation in the equity components- and 4. other conditions- to ensure the purpose of this section within the framework the recapitalization pursuant to paragraph 1 are required.
86,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(4) The budget committee of the German Bundestag is to be informed immediately about the enactment and amendments to the ordinance pursuant to paragraph 3.
87,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: DIRECT PAYMENTS,§ 23 Refinancing of the special programs of the Reconstruction Loan Corporation The Economic Stabilization Fund can grant loans to the Reconstruction Loan Corporation to refinance the special programs assigned to it by the Federal Government in response to the so-called Corona crisis.
88,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: DIRECT PAYMENTS,The Economic Stabilization Fund will determine the detailed conditions for granting a loan on a case-by-case basis.
89,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Section 24 Credit Authorization (1) The Federal Ministry of Finance is authorized to take out loans of up to EUR 100 billion for the Economic Stabilization Fund to cover expenses and measures in accordance with Section 22 of this Act.
90,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: DIRECT PAYMENTS,The Ministry is also authorized to take out loans of up to EUR 100 billion for the Economic Stabilization Fund for the purpose of granting loans in accordance with Section 23.
91,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) Section 9 paragraphs 2 and 3 apply accordingly.
92,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(3) Will be used for expenses that are not financial transactions within the meaning of § 3 of Article 115 Law of 10.
93,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,August 2009 (BGBl.
94,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"I p. 2702- 2704) loans have been taken outn- in connection with the next resolution on a budget law, a separate resolution of the German Bundestag on the repayment of the federal debt increased to this extent is to be brought about - insofar as this borrowing exceeds the borrowing permitted under the debt rule."
95,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Repayment shall be made within a reasonable period of time.
96,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"According to this repayment plan, the federal government's net borrowing permitted under the debt rule is reduced in the respective years."
97,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,§ 25 Requirements and Conditions for Stabilization Measures; Authorization to issue ordinances (1) No other financing options may be available to the company.
98,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"Due to the stabilization measures, there must be a clear, independent perspective for continuation after the pandemic has been overcome."
99,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Companies applying for a measure of this law may by 31.
100,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,December 2019 did not meet the EU definition of 'firms in difficulty'.
101,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) Companies that make use of the stabilization measures of the Economic Stabilization Fund pursuant to Sections 21 and 22 of this Act must offer the guarantee of a solid and prudent business policy.
102,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"In particular, they should make a contribution to stabilizing production chains and securing jobs."
103,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"To ensure the conditions specified in sentences 1 and 2, conditions can be agreed with the beneficiaries of the stabilization measure."
104,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"Insofar as representatives of the finance agency or the credit institution for reconstruction are called in as experts or appointed as representatives in the meetings of the supervisory board of stabilized companies, they are exempt from the requirements of §§ 25c and 25d of the German Banking Act."
105,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Sentence 4 applies accordingly to companies that are the subject of stabilization measures granted by other domestic regional authorities - comparable to the Economic Stabilization Fund - insofar as representatives of the relevant finance agency or a state development bank or institution are consulted as experts or named as representatives in the meetings of these stabilized companies will.
106,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FINANCIAL POLICY: DIRECT PAYMENTS,"(3) The Federal Ministry of Finance, in agreement with the Federal Ministry for Economic Affairs and Energy, can issue more detailed provisions by way of statutory order - which does not require the consent of the Bundesrat - on the requirements to be met by the beneficiary companies with regard to 1. the use of the funds raised 2. taking out further loans- 3. the remuneration of their bodies- 4. the distribution of dividends- 5. the period in which these requirements are to be met- 6."
107,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Measures to avoid distortions of competition - 7. industry-specific restructuring requirements - 8. the way in which the holding company according to § 20 paragraphs 3 and 4 as well as the economic stabilization fund is to be accounted for - 9. a statement to be submitted by the body authorized to represent with the consent of the supervisory body and a declaration of commitment to be published to comply with the requirements in numbers 1 to 6-10. other conditions that are appropriate to ensure the purpose of this section in accordance with paragraph 2.
108,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The requirements can differ depending on the type and addressee of the stabilization measure.
109,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,They are determined on the basis of this section and the statutory ordinance issued for this purpose by contractual self-commitment or administrative act.
110,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"In the ordinance issued according to sentence 1, legal consequences of non-compliance with the aforementioned requirements can also be regulated."
111,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(4) The budget committee of the German Bundestag is to be informed immediately about the enactment and amendments to the ordinance pursuant to paragraph 2.
112,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(5) §§ 10a - 11 and 12 apply accordingly.
113,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,§ 26 time limit; Authorization to issue ordinances (1) Stabilization measures of the Economic Stabilization Fund are to be
114,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,December 2021 possible.
115,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,When the Economic Stabilization Fund has fulfilled its tasks - it must be wound up and dissolved.
116,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,A final result must be determined for the Economic Stabilization Fund.
117,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) The Economic Stabilization Fund can also be established after 31.
118,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,December 2021 participate in companies according to § 16 paragraph 2 - in which he is already involved due to measures according to § 22 - insofar as this is necessary - in order to maintain the share of his capital investment in the company or to secure granted stabilization measures.
119,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(3) The Federal Government shall determine the details of the processing and dissolution of the Economic Stabilization Fund in each case by statutory order - which does not require the approval of the Bundesrat - which requires the approval of the German Bundestag.
120,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(4) § 13 paragraph 5 applies accordingly.
121,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FISCAL POLICY,"Part 3 Taxation Section 27Taxes (1) If spin-offs pursuant to Section 15 (1) of the Transformation Tax Act represent a necessary preparation for stabilization measures pursuant to Sections 21 and 22, Section 15 (3) of the Transformation Tax Act shall not apply."
122,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,FISCAL POLICY,Allocable losses - remaining loss carryforwards - unbalanced negative income and an interest carryforward according to § 4h paragraph 1 sentence 5 of the Income Tax Act and an EBITDA carryforward according to § 4h paragraph 1 sentence 3 of the Income Tax Act remain with the transferring entity.
123,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(2) Section 14 paragraphs 1-2 and 3 sentence 1 and paragraph 4 shall apply accordingly.
124,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,(3) Paragraphs 1 and 2 shall apply accordingly to institutions set up by other domestic regional authorities and comparable to the Economic Stabilization Fund and their stabilization measures.
125,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"'§ 28 application regulation for § 27 § 27 is to be applied for the first time for the assessment period and survey period 2020."""
126,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,8th.
127,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The following heading is inserted after Section 28: ""Section 3 General Provisions""."
128,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,9th
129,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,The previous § 14e is repealed.
